date,close,close,close,close,close,close,close,Volume USD,CapRealUSD,0,0,1,2,3,4,5,6,TxTfrValMedUSD,TxCnt,IssContNtv,FeeTotUSD,FeeMedUSD,AdrActCnt,DiffMean,BlkCnt,BlkSizeMeanByte,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2015-01-18,0.05502943475082933,0.02306211965497873,0.012421928758546308,0.26625034110813317,-0.04431602517723565,-0.2377371409532012,-0.2694485474029982,18205.49,4265789746.0459185,0.12939427365593972,0.06135352048664737,0.07169209021379465,0.2239302854191853,0.24949280071891705,0.13115748486227846,0.019924543572347346,0.0,2.11132518410286,83765.0,3825.0,2938.638961136956,0.0211132518410286,247184.0,43971662056.0896,153.0,322728.346405229,267931.0,195817.33073025,41343406.185457565,0,0,0,1,0,0,0
2015-01-19,0.025497528849893314,0.08052696360072265,0.048559648504872044,0.03791945760843962,0.2917478699580265,-0.018818496327342338,-0.21223961210330788,12796.47,4264539328.705315,0.06177678238148567,0.07781787688685514,0.06135352048664737,0.07169209021379465,0.2239302854191853,0.24949280071891705,0.13115748486227846,0.019924543572347346,4.988577983050842,99008.0,3600.0,3137.128771639106,0.0216894694915254,255010.0,43971662056.0896,144.0,406057.458333333,272794.0,253568.8785237,54997744.54740102,0,1,0,0,0,0,0
2015-01-20,-0.02710699665294314,-0.0016094678030498244,0.05341996694777951,0.021452651851928906,0.010812460955496483,0.26464087330508335,-0.045925492980285476,14234.73,4260832321.6469073,0.07555619074841606,0.0371125447711661,0.07781787688685514,0.06135352048664737,0.07169209021379465,0.2239302854191853,0.24949280071891705,0.13115748486227846,8.47679415546464,100182.0,2950.0,3100.830398166999,0.0211919853886616,234321.0,43971662056.0895,118.0,462434.5,259668.0,270999.54169204,57430183.27871702,0,0,0,0,0,1,0
2015-01-21,0.07969279733448964,0.0525858006815465,0.07808332953143982,0.13311276428226915,0.10114544918641855,0.09050525828998612,0.344333670639573,22796.06,4239498390.3351226,0.11016363217331185,0.04539772211577811,0.0371125447711661,0.07781787688685514,0.06135352048664737,0.07169209021379465,0.2239302854191853,0.24949280071891705,11.39521052016365,93268.0,3725.0,2921.0408532938277,0.0227904210403273,215260.0,43971662056.0896,149.0,335909.302013423,226997.0,477748.32524258,108880854.83589624,0,0,0,0,0,0,1
2015-01-22,0.019108447693743535,0.09880124502823318,0.07169424837529004,0.09719177722518335,0.15222121197601268,0.12025389688016208,0.10961370598372966,25809.37,4239760987.0607214,0.055869766241586245,0.06622703564560815,0.04539772211577811,0.0371125447711661,0.07781787688685514,0.06135352048664737,0.07169209021379465,0.2239302854191853,11.583326015277144,95488.0,3375.0,3206.7253422652047,0.0233647382817066,230504.0,43971662056.0896,135.0,407537.140740741,238362.0,294629.98081774,68839523.9175073,0,0,0,0,1,0,0
2015-01-23,0.0001287470765465315,0.019237194770290067,0.09892999210477971,0.07182299545183657,0.09732052430172988,0.15234995905255921,0.12038264395670861,15246.43,4238521584.0748096,0.06207711309204162,0.03356194602826701,0.06622703564560815,0.04539772211577811,0.0371125447711661,0.07781787688685514,0.06135352048664737,0.07169209021379465,7.680536178543737,94078.0,3100.0,3251.6726413307683,0.0233132852425482,216750.0,43971662056.0895,124.0,397331.427419355,232288.0,270664.85924808,63100870.68784649,1,0,0,0,0,0,0
2015-01-24,0.07025371641997857,0.0703824634965251,0.08949091119026864,0.16918370852475828,0.14207671187181514,0.16757424072170846,0.2226036754725378,13633.14,4240696790.284177,0.08316320153326949,0.037293084835142404,0.03356194602826701,0.06622703564560815,0.04539772211577811,0.0371125447711661,0.07781787688685514,0.06135352048664737,4.558777001741544,80633.0,3150.0,2776.202733530796,0.024908212390415,201529.0,43971662056.0895,126.0,361301.380952381,210799.0,212431.62692682,52912920.819346346,0,0,1,0,0,0,0
2015-01-25,0.012324239633240808,0.08257795605321938,0.08270670312976591,0.10181515082350945,0.1815079481579991,0.15440095150505595,0.17989848035494926,28139.7,4241423690.932188,0.0628900527762727,0.04997340759820538,0.037293084835142404,0.03356194602826701,0.06622703564560815,0.04539772211577811,0.0371125447711661,0.07781787688685514,0.2057014001282878,85829.0,3125.0,3370.8228041915067,0.025451794126242,318167.0,43971662056.0895,125.0,453766.056,370748.0,192158.6168018,48907815.544228405,0,0,0,1,0,0,0
2015-01-26,0.06282323365358611,0.07514747328682692,0.1454011897068055,0.14552993678335202,0.16463838447709556,0.2443311818115852,0.21722418515864206,55355.5,4230101599.5270414,0.20181530755430815,0.03778178187027183,0.04997340759820538,0.037293084835142404,0.03356194602826701,0.06622703564560815,0.04539772211577811,0.0371125447711661,9.854396470289332,107895.0,3175.0,4388.710607233539,0.0273952244886032,263343.0,43971662056.0896,127.0,495644.74015748,277917.0,456794.73332374,125139942.6461549,0,1,0,0,0,0,0
2015-01-27,-0.024452381707861015,0.03837085194572509,0.0506950915789659,0.12094880799894447,0.121077555075491,0.14018600276923454,0.21987880010372418,21293.57,4228873376.4402614,0.13577193688771302,0.12161635127853455,0.03778178187027183,0.04997340759820538,0.037293084835142404,0.03356194602826701,0.06622703564560815,0.04539772211577811,10.135278668499728,99265.0,3725.0,3703.589923973539,0.0264753804500292,249279.0,42866789050.4188,149.0,380240.483221476,252880.0,321383.74362972,85087568.83051485,0,0,0,0,0,1,0
